Year;Month;Progress;Difference
2014;1;0.8251268046852879;
2014;2;0.8640667958515331;0.03893999116624525
2014;3;0.8875996360414319;0.023532840189898763
2014;4;0.9283486860307315;0.040749049989299624
2014;5;0.9433069224102458;0.014958236379514323
2014;6;0.9324693200165777;-0.010837602393668155
2014;7;0.9626414589835428;0.030172138966965134
2014;8;0.9896456291518902;0.02700417016834744
2014;9;1.0419493571238954;0.05230372797200511
2014;10;1.080519373117797;0.03857001599390175
2014;11;1.1008725957893495;0.020353222671552373
2014;12;1.1104756830417297;0.009603087252380238
2015;1;0.8129151529151724;-0.29756053012655737
2015;2;0.8618539294867477;0.048938776571575304
2015;3;0.8920103619442631;0.030156432457515425
2015;4;0.9127118737670123;0.020701511822749263
2015;5;0.8621802656963224;-0.050531608070689904
2015;6;0.840152571550031;-0.022027694146291465
2015;7;0.8296282287912474;-0.010524342758783556
2015;8;0.7990750011698173;-0.03055322762143009
2015;9;0.7468514952506777;-0.0522235059191396
2015;10;0.8096673306389289;0.0628158353882512
2015;11;0.8146128781959359;0.004945547557006935
2015;12;0.8214739027544998;0.006861024558563966
2016;1;0.8187896731512002;-0.002684229603299615
2016;2;0.8300681993549283;0.011278526203728045
2016;3;0.843353288752309;0.013285089397380712
2016;4;0.8206768868612156;-0.022676401891093323
2016;5;0.8187896731512002;-0.001887213710015434
2016;6;0.8142042117400886;-0.004585461411111602
2016;7;0.8857363417111762;0.0715321299710876
2016;8;0.9456446118163635;0.05990827010518729
2016;9;0.955392616516856;0.00974800470049253
2016;10;0.9859759216989228;0.030583305182066756
2016;11;0.9320448737803025;-0.053931047918620245
2016;12;0.9246041794097876;-0.0074406943705149775
2017;1;0.8192922148515404;-0.1053119645582472
2017;2;0.8265589067401325;0.007266691888592192
2017;3;0.8522895469666835;0.025730640226550916
2017;4;0.9216607764317913;0.06937122946510788
2017;5;0.9446578141448818;0.022997037713090474
2017;6;0.9562554058735865;0.01159759172870467
2017;7;0.986476964515108;0.03022155864152154
2017;8;1.0076845118180722;0.021207547302964147
2017;9;1.0261292207543136;0.018444708936241394
2017;10;1.095341587013335;0.06921236625902139
2017;11;1.1203322135417155;0.024990626528380577
2017;12;1.131296663183617;0.010964449641901464
2018;1;0.8600787227325936;-0.27121794045102343
2018;2;0.9083709328969707;0.048292210164377125
2018;3;0.8919003895700474;-0.016470543326923326
2018;4;0.8811746901307423;-0.010725699439305014
2018;5;0.8584541249611706;-0.02272056516957177
2018;6;0.8472763368757387;-0.011177788085431906
2018;7;0.8645511002804971;0.01727476340475842
2018;8;0.9208136855719466;0.05626258529144956
2018;9;0.9278681889717026;0.007054503399755996
2018;10;0.8989441001874059;-0.028924088784296753
2018;11;0.9457715214986678;0.04682742131126194
2018;12;0.9929525709850613;0.047181049486393456
2019;1;0.8634822447751865;-0.12947032620987475
2019;2;0.883936271361287;0.020454026586100515
2019;3;0.8844671432977843;0.000530871936497257
2019;4;0.8954504602904942;0.010983316992709935
2019;5;0.9000541633011083;0.00460370301061408
2019;6;0.9445476643708985;0.04449350106979022
2019;7;0.9825072159777323;0.03795955160683373
2019;8;0.9690285789324893;-0.013478637045242992
2019;9;0.9703649057303015;0.0013363267978122595
2019;10;0.9924463785244899;0.022081472794188373
2019;11;1.0130263111686735;0.020579932644183563
2019;12;1.045013791408463;0.03198748023978948
2020;1;0.8753003727448;-0.16971341866366296
2020;2;0.8556483160781768;-0.019652056666623174
2020;6;0.7335543185954607;-0.1220939974827161
2020;7;0.7883721686965909;0.05481785010113016
2020;8;0.8132577279552418;0.02488555925865088
2020;9;0.7604529785412898;-0.05280474941395197
2020;10;0.743906041390749;-0.016546937150540786
2020;11;0.8215156347324368;0.07760959334168782
2020;12;0.8627120921429272;0.041196457410490384
2021;1;0.9242222624483794;0.06151017030545214
2021;2;0.9008309693372112;-0.023391293111168165
2021;3;0.8753365265795561;-0.02549444275765511
2021;4;0.8231019407264469;-0.05223458585310914
2021;5;0.8417613569959341;0.018659416269487195
2021;6;0.8377559228971324;-0.004005434098801719
2021;7;0.797182905880652;-0.04057301701648042
2021;8;0.8440599593384401;0.04687705345778814
2021;9;0.8654521488841258;0.02139218954568567
2021;10;0.9692950247395413;0.10384287585541552
2021;11;0.9833458173968938;0.014050792657352429
2021;12;0.9685192508537485;-0.014826566543145292
2022;1;0.9536525739504385;-0.014866676903310005
2022;2;0.9777922437688653;0.024139669818426857
2022;4;0.9766930394069381;-0.0010992043619272307
2022;5;0.9295671505810417;-0.04712588882589641
2022;6;0.9264307195280244;-0.003136431053017308
2022;7;0.8965458576077656;-0.029884861920258743
2022;8;0.9841628391467063;0.08761698153894071
2022;9;1.0457348003847555;0.0615719612380492
2022;10;1.0527756308146632;0.007040830429907663
2022;11;1.099963316704505;0.0471876858898419
2022;12;1.0728490585446302;-0.027114258159874893
2023;1;0.9004908215605919;-0.1723582369840383
2023;2;0.9444356990786573;0.04394487751806542
2023;3;0.9227267496408063;-0.021708949437851066
2023;4;0.9643709155251385;0.041644165884332285
2023;5;0.9691265764440284;0.0047556609188899035
2023;6;0.9821762914615226;0.01304971501749419
2023;7;0.9854629143572958;0.0032866228957731947
2023;8;0.999547616253192;0.014084701895896168
2023;9;0.9803345124474659;-0.01921310380572605
2023;10;0.9655627519225016;-0.014771760524964317
2023;11;0.9628635930225912;-0.0026991588999104588
2023;12;0.9780899487306984;0.015226355708107264
2024;1;0.9306095137419398;-0.047480434988758646
2024;2;0.9542542078202426;0.02364469407830283
2024;4;0.9409763071562657;-0.013277900663976938
