Year,Month,Price,Difference
2008,1,9402.400051043478,
2008,2,9174.342912952381,-0.024255204719329845
2008,3,9146.78092442857,-0.0030042466022169355
2008,4,9201.518973142856,0.005984405788936629
2008,5,9269.371372809524,0.007374043336183284
2008,6,9289.790411,0.0022028503734753823
2008,7,9151.936301454545,-0.014839313207994696
2008,8,9207.85009775,0.006109504530376702
2008,9,9375.859152954545,0.01824628479188623
2008,10,9962.37831173913,0.06255631075683984
2008,11,11685.8,0.17299299768912424
2008,12,11276.869565217392,-0.034993790308118174
2009,1,11111.045454545454,-0.01470479991924436
2009,2,11827.55,0.06448579014330537
2009,3,11833.545454545454,0.000506905871922315
2009,4,11047.136363636364,-0.06645591500280398
2009,5,10338.0,-0.06419187201948677
2009,6,10179.522727272728,-0.015329587224537828
2009,7,10081.063051956522,-0.009672327274481656
2009,8,9951.561941952381,-0.012845977585568978
2009,9,9821.072709545455,-0.013112437340798538
2009,10,9458.431862545454,-0.03692476959747349
2009,11,9431.40471542857,-0.0028574659636666187
2009,12,9518.732634217391,0.009259269581122193
2010,1,9254.904761714286,-0.0277167016494099
2010,2,9353.15,0.010615478042749267
2010,3,9144.617484826087,-0.022295431504243228
2010,4,9029.454589954546,-0.01259351690353736
2010,5,9194.447637571428,0.018272758999246668
2010,6,9147.522682818182,-0.005103618684117049
2010,7,9019.345392318182,-0.014012240793975353
2010,8,8919.815829090909,-0.011035120499104455
2010,9,8972.595570045454,0.005917133488609795
2010,10,8910.128534238096,-0.006961980546175633
2010,11,8523.568697681818,-0.04338431651921539
2010,12,9000.71314521739,0.05597942181956525
2011,1,8989.61193247619,-0.001233370352114833
2011,2,8865.7000487,-0.013783896869734774
2011,3,8739.630519608694,-0.014219918156354976
2011,4,8637.030078200001,-0.011739677229888966
2011,5,8541.752352636364,-0.01103130644457519
2011,6,8551.227316999999,0.0011092529931180557
2011,7,8523.476236809523,-0.00324527452747114
2011,8,8478.382642565217,-0.005290516802236766
2011,9,8695.256924590909,0.02557967612087801
2011,10,8826.442894142858,0.015087072261308804
2011,11,8975.897860227271,0.016932638422618704
2011,12,9043.00914409091,0.0074768323914437785
2012,1,9050.61363640909,0.0008409249838203202
2012,2,8594.404761904761,-0.050406402574636265
2012,3,9125.111372500001,0.06175024627041424
2012,4,9143.08575142857,0.0019697709096174014
2012,5,9210.110861043479,0.0073306880671479314
2012,6,9381.326218380951,0.018589934466660088
2012,7,9407.52503540909,0.0027926560081459155
2012,8,9461.413000913044,0.005728176677832377
2012,9,9524.59252925,0.006677599670457117
2012,10,9561.413085782608,0.003865840603630246
2012,11,9579.440962363637,0.0018854824511071089
2012,12,9607.82246095,0.0029627510308659942
2013,1,9630.395635130435,0.002349457878950408
2013,2,9649.65502925,0.0019998549228142644
2013,3,9668.426199761905,0.0019452685567521672
2013,4,9687.313742954546,0.00195352819604766
2013,5,9721.106530130435,0.003488354777449668
2013,6,9799.567529299999,0.00807120042624516
2013,7,9986.550059391304,0.01908069203383119
2013,8,10500.09090909091,0.05142324893436795
2013,9,11263.761904761905,0.07272994131982356
2013,10,11210.565917954546,-0.004722754907032416
2013,11,11162.800037142857,-0.004260791217969461
2013,12,11590.970481136364,0.03835690351603741
2014,1,12035.478260869566,0.038349487685833746
2014,2,11834.6,-0.01669050921912031
2014,3,11425.952380952382,-0.0345299054507646
2014,4,11421.09090909091,-0.00042547629286255717
2014,5,11507.045454545454,0.00752594880285266
2014,6,11879.190476190477,0.03234062323947979
2014,7,11666.130434782608,-0.01793556908064622
2014,8,11709.619047619048,0.0037277667243268767
2014,9,11874.0,0.014038112744101302
2014,10,12133.173913043478,0.021827009688687723
2014,11,12146.9,0.001131285767013173
2014,12,12422.739130434782,0.022708603053847684
2015,1,12527.772727272728,0.008454946669581222
2015,2,12735.15,0.016553403166056423
2015,3,13034.045454545454,0.023470116531446778
2015,4,12938.136363636364,-0.007358351729212593
2015,5,13082.761904761905,0.011178235957693407
2015,6,13282.5,0.015267272819922994
2015,7,13351.608695652174,0.005202988567827894
2015,8,13690.0,0.0253446091824141
2015,9,14343.954545454546,0.047768776147154565
2015,10,13761.0,-0.04064113167726667
2015,11,13612.095238095239,-0.010820780604953235
2015,12,13813.521739130434,0.014797611793919646
2016,1,13840.714285714286,0.001968545538015995
2016,2,13499.952380952382,-0.024620254253324373
2016,3,13122.95652173913,-0.027925717704395017
2016,4,13147.952380952382,0.0019047429725035018
2016,5,13395.454545454546,0.0188243885687268
2016,6,13334.272727272728,-0.004567356633864935
2016,7,13101.619047619048,-0.017447796697440513
2016,8,13145.391304347826,0.0033409807268616177
2016,9,13114.045454545454,-0.0023845505300404673
2016,10,13015.238095238095,-0.007534468265329297
2016,11,13317.045454545454,0.023188769740430746
2016,12,13414.545454545454,0.007321443809198737
2017,1,13352.227272727272,-0.0046455679045812
2017,2,13330.6,-0.0016197501948942037
2017,3,13332.391304347826,0.00013437537303839618
2017,4,13290.65,-0.0031308190252572407
2017,5,13317.130434782608,0.0019924108138133522
2017,6,13294.772727272728,-0.0016788682531399342
2017,7,13332.8,0.0028603176231258676
2017,8,13332.173913043478,-4.695840007509667e-05
2017,9,13300.666666666666,-0.0023632489781720426
2017,10,13517.90909090909,0.016333198153658267
2017,11,13515.52380952381,-0.00017645342702334247
2017,12,13548.0,0.002402880638137476
2018,1,13384.739130434782,-0.012050551340804395
2018,2,13579.65,0.014562171714054632
2018,3,13749.045454545454,0.012474213587644337
2018,4,13799.361886142859,0.0036596309004687908
2018,5,14071.204313869564,0.01969963756075464
