Year;Month;2 Error;3 Error;4 Error;5 Error;AR 2 Error;AR 3 Error;AR 4 Error;AR 5 Error
2017;1;-0.003439801818354;-0.0003483379343202;0.0008561802567179;0.0019177815298085;-0.003439801818354;-0.0003483379343202;0.0008561802567179;0.0019177815298085
2017;2;0.0194021576807054;0.0254374014909372;0.041573038709375;0.0247345223254269;0.0194021576807054;0.0254374014909372;0.041573038709375;0.0247345223254269
2017;3;0.0153922783816026;0.0220315486126512;0.0438816933348165;0.0251474296083992;0.0153922783816026;0.0220315486126512;0.0438816933348165;0.0251474296083992
2017;4;-0.0549663961176771;-0.0344149608788046;-0.0130524788957728;-0.0317880161498623;0.008090312657442384;0.009692596488369835;0.028949467273612903;0.011886030552333764
2017;5;-0.1041728447211205;-0.0698988603922924;-0.0454654193640602;-0.0681252770218574;-0.04815034552823146;-0.032469332348478805;-0.019516629416618227;-0.03571600982234615
2017;6;-0.1290770142285265;-0.0939800381046872;-0.0952125963274803;-0.1191809109897952;-0.09223559983474452;-0.06123108138664636;-0.04800547769641265;-0.06343961567747165
2017;7;-0.1287946792638962;-0.0938082880197859;-0.0946182676815815;-0.1169414484404793;-0.10982640271169226;-0.0787346441609484;-0.0829887041025216;-0.10067543075135417
2017;8;-0.1353247053249817;-0.0962294311053817;-0.1052315833589139;-0.1244149803877978;-0.10766819803038681;-0.07868883557147792;-0.08185288183743877;-0.09518156092116485
2017;9;-0.1750071648705466;-0.1113980644571706;-0.120581155088085;-0.1389097889792336;-0.11043868079648776;-0.07961325527719813;-0.08523317570074096;-0.09853865187310498
2017;10;-0.1975199608444091;-0.1366207118614519;-0.1412214328737094;-0.1668587164212457;-0.14145775464494653;-0.0907920051559017;-0.09784673826160419;-0.11021240147970683
2017;11;-0.2470033375535963;-0.1711554309531863;-0.1829439952743943;-0.1912292188043907;-0.16193570636038387;-0.10988879114804127;-0.11373877766247859;-0.1320725361673353
2018;1;-0.0410377787312232;-0.0430797090932892;-0.0410477613317933;-0.0401015636756788;-0.1984674078682723;-0.13586857145717385;-0.1459378333551709;-0.1501929128419276
2018;2;-0.0800573798494403;-0.0688772543697012;-0.0627339750386354;-0.0485535951893383;-0.0436528039260382;-0.043632035740428246;-0.03492969633404334;-0.024862116670168594
2018;3;-0.044078971710551;-0.0293493236822954;-0.0230871811438755;-0.0045054879355106;-0.049270962924850586;-0.054306498350821825;-0.040607762213128014;-0.03537528385115157
2018;4;-0.0100058584842389;0.0038418222225973;0.0146748656419454;0.0300441031844305;-0.04369106970471205;-0.03133297851482045;-0.02464033436513722;-0.007533387894004064
2018;5;0.0232696186868703;0.0167551260362975;0.033779543889492;0.049831353692463;-0.010702923266158045;-0.0041488229246536825;0.009068321593586922;0.019599875349684607
2018;6;0.0379534719310988;0.0229277261788298;0.0384940404193322;0.0328089919358635;0.014869116623316476;0.0056834875895255075;0.022035043671473145;0.03215284971957265
2018;7;0.071555552832645;0.0360627447253467;0.0515696482197715;0.0462312500893458;0.026306514715855805;0.009731896660598066;0.022975743999316615;0.015754127990657202
2018;8;0.0558508762452711;-0.0033456439705289;0.0146987529170892;0.0026855595589942;0.05049662204668033;0.019182512596859942;0.031570257964087176;0.026153058694354674
2018;9;0.0628927296638821;-0.0184104114644202;0.0147124834397329;0.0017961077121428;0.040424839942413845;-0.009008154186957894;0.0029025709388932047;-0.008795362281591142
2018;10;0.1417146541687228;0.0647175129296563;0.09393195292984;0.0834203405269614;0.04133117143918805;-0.022554856987183514;-0.00024293302144751984;-0.008822921010222464
2018;11;0.0804170221623411;0.00989180034065;0.046194118828158;0.0282054958235321;0.10371004057257063;0.03850133523143935;0.06540924614518999;0.060024465738068467
2018;12;0.0349978503116411;-0.033827655869093;0.0040100361123472;-0.0246657216799872;0.06378863288613347;0.003598266310125022;0.03204901777898685;0.01245143119214544
2019;1;-0.0237967759831195;-0.0307620411967417;-0.0357133038625598;-0.0362417311080276;0.016161796794881892;-0.034049263892541336;-0.011197139651669446;-0.033237311808156506
2019;2;-0.0164713515427353;-0.0289369250306098;-0.0272232792415922;-0.0257525184952245;-0.027795959438423442;-0.032291693806512714;-0.03973352992424533;-0.037892704643697886
2019;3;-0.0123721750294188;-0.0219527348681043;-0.0145787464894585;-0.0110364986428374;-0.023852370463059658;-0.029292868241343476;-0.03094597828213891;-0.02607669025997895
2019;4;0.0059672729907724;-0.0209463424825778;-0.0113944034928038;-0.0025358776461955;-0.014817791083458536;-0.024215634866428415;-0.016704668693523658;-0.013810236967404865
2019;5;0.0015018062519178;-0.0260869592153574;-0.0290336938127145;-0.014576403228344;-0.0010361781239065521;-0.02316867471900359;-0.014406845330796735;-0.007950941354250226
2019;6;-0.0427817929962358;-0.0719690128744272;-0.0800755328610373;-0.066476095159694;-0.0030457750362088455;-0.027096838516773466;-0.029300350568889036;-0.018836609362800835
2019;7;-0.0569931835799297;-0.0702524138088053;-0.0909090571532251;-0.0767003971214181;-0.0389807318669321;-0.06080917696301369;-0.07046842828875695;-0.06114581882841319
2019;8;-0.0047794802374797;-0.010980975863695;-0.0507241263384392;-0.0364558910268711;-0.05373278858519294;-0.06186040343749005;-0.0797998542552962;-0.06709997524067642
2019;9;0.0066337991327064;-0.0005682303160109;-0.0563045253569141;-0.0307267300068124;-0.011240909880688488;-0.017041631873052507;-0.04386202238538112;-0.031164976236214247
2019;10;0.0046964650758803;0.0009741577753978;-0.0449641436398419;-0.0183567159932122;0.0037841922035324682;-0.006319875897960203;-0.045127472285040555;-0.027265309039245327
