Year,Closing Price
2008,601.578947368421
2009,960.2631578947369
2010,1301.0
2011,1591.904761904762
2012,1824.4444444444443
2013,1911.0526315789473
2014,2630.75
2015,2649.75
2016,2951.25
2017,4238.809523809524
2018,5181.9047619047615
2019,6491.315789473684
2020,6678.684210526316
2021,7348.863636363636
2022,8632.954545454546
2023,9059.21052631579
