Year;Month;AR 2 Error;AR 3 Error;AR 4 Error;AR 5 Error
2017;1;-0.003439801818354;-0.0003483379343202;0.0008561802567179;0.0019177815298085
2017;2;0.0194021576807054;0.0254374014909372;0.041573038709375;0.0247345223254269
2017;3;0.0153922783816026;0.0220315486126512;0.0438816933348165;0.0251474296083992
2017;4;0.008090312657442384;0.009692596488369835;0.028949467273612903;0.011886030552333764
2017;5;-0.04815034552823146;-0.032469332348478805;-0.019516629416618227;-0.03571600982234615
2017;6;-0.09223559983474452;-0.06123108138664636;-0.04800547769641265;-0.06343961567747165
2017;7;-0.10982640271169226;-0.0787346441609484;-0.0829887041025216;-0.10067543075135417
2017;8;-0.10766819803038681;-0.07868883557147792;-0.08185288183743877;-0.09518156092116485
2017;9;-0.11043868079648776;-0.07961325527719813;-0.08523317570074096;-0.09853865187310498
2017;10;-0.14145775464494653;-0.0907920051559017;-0.09784673826160419;-0.11021240147970683
2017;11;-0.16193570636038387;-0.10988879114804127;-0.11373877766247859;-0.1320725361673353
2018;1;-0.1984674078682723;-0.13586857145717385;-0.1459378333551709;-0.1501929128419276
2018;2;-0.0436528039260382;-0.043632035740428246;-0.03492969633404334;-0.024862116670168594
2018;3;-0.049270962924850586;-0.054306498350821825;-0.040607762213128014;-0.03537528385115157
2018;4;-0.04369106970471205;-0.03133297851482045;-0.02464033436513722;-0.007533387894004064
2018;5;-0.010702923266158045;-0.0041488229246536825;0.009068321593586922;0.019599875349684607
2018;6;0.014869116623316476;0.0056834875895255075;0.022035043671473145;0.03215284971957265
2018;7;0.026306514715855805;0.009731896660598066;0.022975743999316615;0.015754127990657202
2018;8;0.05049662204668033;0.019182512596859942;0.031570257964087176;0.026153058694354674
2018;9;0.040424839942413845;-0.009008154186957894;0.0029025709388932047;-0.008795362281591142
2018;10;0.04133117143918805;-0.022554856987183514;-0.00024293302144751984;-0.008822921010222464
2018;11;0.10371004057257063;0.03850133523143935;0.06540924614518999;0.060024465738068467
2018;12;0.06378863288613347;0.003598266310125022;0.03204901777898685;0.01245143119214544
2019;1;0.016161796794881892;-0.034049263892541336;-0.011197139651669446;-0.033237311808156506
2019;2;-0.027795959438423442;-0.032291693806512714;-0.03973352992424533;-0.037892704643697886
2019;3;-0.023852370463059658;-0.029292868241343476;-0.03094597828213891;-0.02607669025997895
2019;4;-0.014817791083458536;-0.024215634866428415;-0.016704668693523658;-0.013810236967404865
2019;5;-0.0010361781239065521;-0.02316867471900359;-0.014406845330796735;-0.007950941354250226
2019;6;-0.0030457750362088455;-0.027096838516773466;-0.029300350568889036;-0.018836609362800835
2019;7;-0.0389807318669321;-0.06080917696301369;-0.07046842828875695;-0.06114581882841319
2019;8;-0.05373278858519294;-0.06186040343749005;-0.0797998542552962;-0.06709997524067642
2019;9;-0.011240909880688488;-0.017041631873052507;-0.04386202238538112;-0.031164976236214247
2019;10;0.0037841922035324682;-0.006319875897960203;-0.045127472285040555;-0.027265309039245327
2019;11;-0.0012073873449560749;-0.006674684592959776;-0.040489044149834195;-0.019592546339202738
2019;12;0.009327478083770262;-0.017590723903439923;-0.051007873627984535;-0.030033241934211138
2020;1;0.008747055323136545;-0.029415046570250188;-0.06665419193568216;-0.04541875760115796
2020;2;-0.01632559889655825;-0.02896470586270261;-0.03277526157799583;-0.037264946089478
2020;4;0.022315719665625545;0.004361521045121464;0.003584171187418184;0.0016424070327657383
2020;6;0.15330954101619804;0.14882443985363183;0.1472693179552435;0.15660239108423432
2020;7;0.13421799344673305;0.13597881184393026;0.1246217684243996;0.1050071364081272
2020;8;0.09544056635550412;0.10847315824641317;0.0922836244965487;0.07538463097319184
2020;11;0.09358638745615935;0.10549559596850362;0.09978366802039805;0.07403997614555274
2020;12;0.11571395120561699;0.14426486662240226;0.1280428739134871;0.09879844559872616
2021;1;0.1173182565414031;0.13909203873799544;0.11308567205844619;0.07925210870952983
2021;2;-0.04668322914665807;-0.046495069937512346;-0.0716870058487647;-0.08202699808343042
