Year;Month;Progress;2 Mean;3 Mean;4 Mean;5 Mean;AR 2 Mean;AR 3 Mean;AR 4 Mean;AR 5 Mean;AR 2 Mean Error;AR 3 Mean Error;AR 4 Mean Error;AR 5 Mean Error
2017;1;0.8192922148515404;0.8158524130331863;0.8189438769172201;0.8201483951082583;0.821209996381349;0.8192922148515404;0.8192922148515404;0.8192922148515405;0.8192922148515405;0.0;0.0;1.1102230246251565e-16;1.1102230246251565e-16
2017;2;0.8265589067401325;0.845961064420838;0.8519963082310698;0.8681319454495076;0.8512934290655595;0.8265589067401325;0.8265589067401325;0.8265589067401325;0.8265589067401325;0.0;0.0;0.0;0.0
2017;3;0.8522895469666835;0.8676818253482861;0.8743210955793347;0.8961712403015;0.8774369765750827;0.8522895469666835;0.8522895469666835;0.8522895469666835;0.8522895469666835;0.0;0.0;0.0;0.0
2017;4;0.9216607764317912;0.866694380314114;0.8872458155529865;0.9086082975360184;0.8898727602819289;0.8586040676566717;0.8775532190646167;0.8796588302624054;0.8779867297295951;-0.06305670877511949;-0.04410755736717453;-0.042001946169385795;-0.0436740467021961
2017;5;0.9446578141448818;0.8404849694237613;0.8747589537525894;0.8991923947808216;0.8765325371230244;0.8886353149519927;0.9072282861010682;0.9187090241974398;0.9122485469453705;-0.05602249919288915;-0.03742952804381361;-0.025948789947441986;-0.032409267199511316
2017;6;0.9562554058735864;0.8271783916450598;0.8622753677688991;0.861042809546106;0.8370744948837912;0.9194139914798043;0.9235064491555455;0.9090482872425186;0.9005141105612627;-0.03684141439378208;-0.0327489567180409;-0.047207118631067746;-0.055741295312323635
2017;7;0.986476964515108;0.8576822852512118;0.8926686764953221;0.8918586968335265;0.8695355160746286;0.967508687962904;0.9714033206562706;0.974847400936048;0.9702109468259827;-0.01896827655220401;-0.015073643858837471;-0.011629563579059976;-0.01626601768912528
2017;8;1.0076845118180722;0.8723598064930904;0.9114550807126904;0.9024529284591584;0.8832695314302743;0.9800280045234773;0.9901439162841683;0.984305810296597;0.9784510923514391;-0.0276565072945949;-0.017540595533903858;-0.023378701521475143;-0.029233419466633048
2017;9;1.0261292207543136;0.8511220558837669;0.914731156297143;0.9055480656662284;0.8872194317750799;0.9615607366802545;0.9943444115743411;0.9907812413669692;0.9857580836481847;-0.06456848407405902;-0.031784809179972506;-0.03534797938734435;-0.04037113710612883
2017;10;1.095341587013335;0.8978216261689258;0.958720875151883;0.9541201541396256;0.9284828705920892;1.0392793808138723;1.0495128803077847;1.0519668924012298;1.0386952720717961;-0.05606220619946267;-0.04582870670555028;-0.04337469461210519;-0.05664631494153882
2017;11;1.1203322135417155;0.8733288759881191;0.9491767825885292;0.9373882182673212;0.9291029947373248;1.035264582348503;1.0590655737365704;1.0511269959297997;1.0611755309046602;-0.08506763119321259;-0.06126663980514513;-0.06920521761191578;-0.05915668263705531
2017;12;1.131296663183617;0.8730390410821437;0.9521845884020056;0.927534395835438;0.9291635300517596;0.8730390410821437;0.9521845884020056;0.927534395835438;0.9291635300517596;;;;
2018;1;0.8600787227325936;0.8190409440013703;0.8169990136393043;0.8190309614008002;0.8199771590569147;1.0175083518696426;0.9528675850964781;0.9649687947559711;0.9701700718988423;;0.0927888623638845;;
2018;2;0.9083709328969708;0.8283135530475304;0.8394936785272695;0.8456369578583354;0.8598173377076325;0.8719663569735686;0.8831257142676977;0.8805666541923787;0.8846794543778009;-0.03640457592340218;-0.025245218629273092;-0.027804278704592122;-0.023691478519169862
2018;3;0.8919003895700474;0.8478214178594963;0.8625510658877519;0.8688132084261718;0.8873949016345367;0.8970923807843467;0.9168575642385737;0.9094209706392998;0.9227701854856882;0.005191991214299363;0.024957174668526316;0.017520581069252472;0.030869795915640874
2018;4;0.8811746901307423;0.8711688316465034;0.8850165123533397;0.8958495557726878;0.9112187933151727;0.9148599013512154;0.9163494908681601;0.920489890137825;0.9187521812091768;0.03368521122047308;0.035174800737417744;0.03931520000708266;0.037577491078434444
2018;5;0.8584541249611706;0.881723743648041;0.8752092509974682;0.8922336688506626;0.9082854786536336;0.8924266669141989;0.8793580739221217;0.8831653472570756;0.8886856033039491;0.033972541953028346;0.020903948960951158;0.024711222295905055;0.030231478342778506
2018;6;0.8472763368757387;0.8852298088068375;0.8702040630545685;0.8857703772950709;0.8800853288116022;0.8703606921835212;0.864520575465043;0.8637353336235978;0.8479324790920296;0.023084355307782523;0.01724423858930435;0.01645899674785911;0.0006561422162909558
2018;7;0.8645511002804971;0.936106653113142;0.9006138450058438;0.9161207485002686;0.9107823503698428;0.9098001383972862;0.8908819483452458;0.893145004500952;0.8950282223791856;0.04524903811678915;0.026330848064748724;0.028593904220454935;0.03047712209868847
2018;8;0.9208136855719466;0.9766645618172178;0.9174680416014176;0.935512438489036;0.923499245130941;0.9261679397705376;0.8982855290045577;0.9039421805249489;0.8973461864365864;0.005354254198590924;-0.022528156567388935;-0.016871505046997748;-0.02346749913536028
2018;9;0.9278681889717026;0.9907609186355848;0.9094577775072824;0.9425806724114356;0.9296642966838456;0.950336078693171;0.9184659316942402;0.9396781014725424;0.9384596589654367;0.022467889721468404;-0.009402257277462467;0.011809912500839737;0.01059146999373406
2018;10;0.8989441001874059;1.0406587543561288;0.9636616131170622;0.992876053117246;0.9823644407143672;0.9993275829169408;0.9862164701042457;0.9931189861386935;0.9911873617245897;0.1003834827295349;0.08727236991683984;0.09417488595128765;0.09224326153718376
