Year;Month;High;Low;Buy Price;Sell Price;Take Profit
2017;1;3100.0;3100.0;3039.0750000000007;3069.4657500000008;False
2017;1;3155.0;3045.0;3039.0750000000007;3069.4657500000008;False
2017;1;3175.0;3130.0;3039.0750000000007;3069.4657500000008;False
2017;1;3155.0;3125.0;3039.0750000000007;3069.4657500000008;False
2017;1;3140.0;3090.0;3039.0750000000007;3069.4657500000008;False
2017;1;3120.0;3030.0;3039.0750000000007;3069.4657500000008;False
2017;1;3100.0;3065.0;3039.0750000000007;3069.4657500000008;True
2017;1;3115.0;3060.0;3039.0750000000007;3069.4657500000008;False
2017;1;3090.0;3055.0;3039.0750000000007;3069.4657500000008;False
2017;1;3115.0;3040.0;3039.0750000000007;3069.4657500000008;False
2017;1;3050.0;3000.0;3039.0750000000007;3069.4657500000008;False
2017;1;3050.0;3030.0;3039.0750000000007;3069.4657500000008;False
2017;1;3060.0;3030.0;3039.0750000000007;3069.4657500000008;False
2017;1;3080.0;3050.0;3039.0750000000007;3069.4657500000008;True
2017;1;3055.0;3010.0;3039.0750000000007;3069.4657500000008;False
2017;1;3060.0;3010.0;3039.0750000000007;3069.4657500000008;False
2017;1;3050.0;3010.0;3039.0750000000007;3069.4657500000008;False
2017;1;3055.0;2990.0;3039.0750000000007;3069.4657500000008;False
2017;1;3085.0;3000.0;3039.0750000000007;3069.4657500000008;True
2017;1;3110.0;3030.0;3039.0750000000007;3069.4657500000008;False
2017;1;3115.0;3065.0;3039.0750000000007;3069.4657500000008;True
2017;1;3110.0;3050.0;3039.0750000000007;3069.4657500000008;False
2017;2;3100.0;3085.0;3066.0299999999997;3096.6902999999998;False
2017;2;3095.0;3055.0;3066.0299999999997;3096.6902999999998;False
2017;2;3100.0;3085.0;3066.0299999999997;3096.6902999999998;True
2017;2;3135.0;3100.0;3066.0299999999997;3096.6902999999998;False
2017;2;3125.0;3085.0;3066.0299999999997;3096.6902999999998;False
2017;2;3130.0;3105.0;3066.0299999999997;3096.6902999999998;False
2017;2;3130.0;3120.0;3066.0299999999997;3096.6902999999998;False
2017;2;3140.0;3000.0;3066.0299999999997;3096.6902999999998;False
2017;2;3130.0;3070.0;3066.0299999999997;3096.6902999999998;True
2017;2;3110.0;3075.0;3066.0299999999997;3096.6902999999998;False
2017;2;3100.0;3100.0;3066.0299999999997;3096.6902999999998;False
2017;2;3120.0;3075.0;3066.0299999999997;3096.6902999999998;False
2017;2;3115.0;3070.0;3066.0299999999997;3096.6902999999998;False
2017;2;3120.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;2;3105.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;2;3115.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;2;3115.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;2;3120.0;3100.0;3066.0299999999997;3096.6902999999998;False
2017;2;3105.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;2;3110.0;3080.0;3066.0299999999997;3096.6902999999998;False
2017;3;3105.0;3080.0;3161.475;3193.08975;False
2017;3;3135.0;3095.0;3161.475;3193.08975;False
2017;3;3110.0;3085.0;3161.475;3193.08975;False
2017;3;3095.0;3070.0;3161.475;3193.08975;False
2017;3;3100.0;3080.0;3161.475;3193.08975;False
2017;3;3105.0;3090.0;3161.475;3193.08975;False
2017;3;3140.0;3100.0;3161.475;3193.08975;False
2017;3;3140.0;3095.0;3161.475;3193.08975;False
2017;3;3130.0;3095.0;3161.475;3193.08975;False
2017;3;3180.0;3130.0;3161.475;3193.08975;False
2017;3;3155.0;3105.0;3161.475;3193.08975;False
2017;3;3200.0;3160.0;3161.475;3193.08975;True
2017;3;3240.0;3175.0;3161.475;3193.08975;False
2017;3;3245.0;3190.0;3161.475;3193.08975;False
2017;3;3255.0;3230.0;3161.475;3193.08975;False
2017;3;3270.0;3210.0;3161.475;3193.08975;False
2017;3;3350.0;3275.0;3161.475;3193.08975;False
2017;3;3360.0;3290.0;3161.475;3193.08975;False
2017;3;3325.0;3300.0;3161.475;3193.08975;False
2017;3;3365.0;3325.0;3161.475;3193.08975;False
2017;3;3375.0;3340.0;3161.475;3193.08975;False
2017;3;3400.0;3310.0;3161.475;3193.08975;False
2017;4;3390.0;3315.0;3256.7958931923604;3289.363852124284;False
2017;4;3380.0;3330.0;3256.7958931923604;3289.363852124284;False
2017;4;3350.0;3350.0;3256.7958931923604;3289.363852124284;False
2017;4;3475.0;3440.0;3256.7958931923604;3289.363852124284;False
2017;4;3495.0;3440.0;3256.7958931923604;3289.363852124284;False
2017;4;3550.0;3450.0;3256.7958931923604;3289.363852124284;False
2017;4;3520.0;3450.0;3256.7958931923604;3289.363852124284;False
2017;4;3540.0;3485.0;3256.7958931923604;3289.363852124284;False
2017;4;3540.0;3440.0;3256.7958931923604;3289.363852124284;False
2017;4;3470.0;3340.0;3256.7958931923604;3289.363852124284;False
2017;4;3410.0;3370.0;3256.7958931923604;3289.363852124284;False
2017;4;3385.0;3385.0;3256.7958931923604;3289.363852124284;False
2017;4;3530.0;3425.0;3256.7958931923604;3289.363852124284;False
2017;4;3500.0;3405.0;3256.7958931923604;3289.363852124284;False
2017;4;3530.0;3460.0;3256.7958931923604;3289.363852124284;False
2017;4;3600.0;3460.0;3256.7958931923604;3289.363852124284;False
2017;4;3525.0;3480.0;3256.7958931923604;3289.363852124284;False
2017;4;3555.0;3505.0;3256.7958931923604;3289.363852124284;False
2017;5;3590.0;3550.0;3383.8863625847735;3417.7252262106213;False
2017;5;3570.0;3550.0;3383.8863625847735;3417.7252262106213;False
