Year;Month;Progress
2012;1;0.825456401473712
2012;2;0.7839393635297679
2012;3;0.8024999216694135
2012;4;0.8149306112655709
2012;5;0.7858931064918357
2012;6;0.7412012362345313
2012;7;0.780242793039037
2012;8;0.806535943314738
2012;9;0.8139048962104851
2012;10;0.8259337364019445
2012;11;0.8959621006173394
2012;12;0.9356800669170459
2013;1;0.8237619496813728
2013;2;0.916538857104821
2013;3;0.961721674467996
2013;4;0.9726957434851137
2013;5;0.9724927178655177
2013;6;0.857345134877727
2013;7;0.8894287578481397
2013;8;0.8754464716985619
2013;9;0.8779987937734849
2013;10;0.940317991102853
2013;11;0.9020225253036969
2013;12;0.8535838181357354
2014;1;0.8251268046852879
2014;2;0.8640667958515331
2014;3;0.8875996360414319
2014;4;0.9283486860307315
2014;5;0.9433069224102458
2014;6;0.9324693200165777
2014;7;0.9626414589835428
2014;8;0.9896456291518902
2014;9;1.0419493571238954
2014;10;1.080519373117797
2014;11;1.1008725957893495
2014;12;1.1104756830417297
2015;1;0.8129151529151724
2015;2;0.8618539294867477
2015;3;0.8920103619442631
2015;4;0.9127118737670123
2015;5;0.8621802656963224
2015;6;0.840152571550031
2015;7;0.8296282287912474
2015;8;0.7990750011698173
2015;9;0.7468514952506777
2015;10;0.8096673306389289
2015;11;0.8146128781959359
2015;12;0.8214739027544998
2016;1;0.8187896731512002
2016;2;0.8300681993549283
2016;3;0.843353288752309
2016;4;0.8206768868612156
2016;5;0.8187896731512002
2016;6;0.8142042117400886
2016;7;0.8857363417111762
2016;8;0.9456446118163635
2016;9;0.955392616516856
2016;10;0.9859759216989228
2016;11;0.9320448737803025
2016;12;0.9246041794097876
2017;1;0.8192922148515404
2017;2;0.8265589067401325
2017;3;0.8522895469666835
2017;4;0.9216607764317913
2017;5;0.9446578141448818
2017;6;0.9562554058735865
2017;7;0.986476964515108
2017;8;1.0076845118180722
2017;9;1.0261292207543136
2017;10;1.095341587013335
2017;11;1.1203322135417155
2017;12;1.131296663183617
2018;1;0.8600787227325936
2018;2;0.9083709328969707
2018;3;0.8919003895700474
2018;4;0.8811746901307423
2018;5;0.8584541249611706
2018;6;0.8472763368757387
2018;7;0.8645511002804971
2018;8;0.9208136855719466
2018;9;0.9278681889717026
2018;10;0.8989441001874059
2018;11;0.9457715214986678
2018;12;0.9929525709850613
2019;1;0.8634822447751865
2019;2;0.883936271361287
2019;3;0.8844671432977843
2019;4;0.8954504602904942
2019;5;0.9000541633011083
2019;6;0.9445476643708985
2019;7;0.9825072159777323
2019;8;0.9690285789324893
2019;9;0.9703649057303015
2019;10;0.9924463785244899
2019;11;1.0130263111686735
2019;12;1.045013791408463
2020;1;0.8753003727448
2020;2;0.8556483160781768
2020;4;0.6869594256068179
2020;6;0.7335543185954607
2020;7;0.7883721686965909
2020;8;0.8132577279552418
2020;9;0.7604529785412898
2020;10;0.743906041390749
2020;11;0.8215156347324368
2020;12;0.8627120921429272
2021;1;0.9242222624483794
2021;2;0.9008309693372112
2021;3;0.8753365265795561
2021;4;0.8231019407264469
2021;5;0.8417613569959341
2021;6;0.8377559228971324
2021;7;0.797182905880652
2021;8;0.8440599593384401
2021;9;0.8654521488841258
2021;10;0.9692950247395413
2021;11;0.9833458173968938
2021;12;0.9685192508537485
2022;1;0.9536525739504385
2022;2;0.9777922437688653
2022;3;0.9858574802816984
2022;4;0.9766930394069381
2022;5;0.9295671505810417
2022;6;0.9264307195280244
2022;7;0.8965458576077656
2022;8;0.9841628391467063
2022;9;1.0457348003847555
2022;10;1.0527756308146632
2022;11;1.099963316704505
2022;12;1.0728490585446302
2023;1;0.9004908215605919
2023;2;0.9444356990786573
2023;3;0.9227267496408063
2023;4;0.9643709155251385
2023;5;0.9691265764440284
2023;6;0.9821762914615226
2023;7;0.9854629143572958
2023;8;0.999547616253192
2023;9;0.9803345124474659
2023;10;0.9655627519225016
2023;11;0.9628635930225912
2023;12;0.9780899487306984
2024;1;0.9306095137419398
2024;2;0.9542542078202426
2024;3;0.97733447225267
2024;4;0.9409763071562657
2024;5;0.9382734867161525
