Year;Month;AR 2 Mean;AR 3 Mean;AR 4 Mean;AR 5 Mean
2017;1;0.8192922148515404;0.8192922148515404;0.8192922148515405;0.8192922148515405
2017;2;0.8265589067401325;0.8265589067401325;0.8265589067401325;0.8265589067401325
2017;3;0.8522895469666835;0.8522895469666835;0.8522895469666835;0.8522895469666835
2017;4;0.8586040676566717;0.8775532190646167;0.8796588302624054;0.8779867297295951
2017;5;0.8886353149519927;0.9072282861010682;0.9187090241974398;0.9122485469453705
2017;6;0.9194139914798043;0.9235064491555455;0.9090482872425186;0.9005141105612627
2017;7;0.967508687962904;0.9714033206562706;0.974847400936048;0.9702109468259827
2017;8;0.9800280045234773;0.9901439162841683;0.984305810296597;0.9784510923514391
2017;9;0.9615607366802545;0.9943444115743411;0.9907812413669692;0.9857580836481847
2017;10;1.0392793808138723;1.0495128803077847;1.0519668924012298;1.0386952720717961
2017;11;1.035264582348503;1.0590655737365704;1.0511269959297997;1.0611755309046602
2017;12;0.8730390410821437;0.9521845884020056;0.927534395835438;0.9291635300517596
2018;1;1.0175083518696426;0.9528675850964781;0.9649687947559711;0.9701700718988423
2018;2;0.8719663569735686;0.8831257142676977;0.8805666541923787;0.8846794543778009
2018;3;0.8970923807843467;0.9168575642385737;0.9094209706392998;0.9227701854856882
2018;4;0.9148599013512154;0.9163494908681601;0.920489890137825;0.9187521812091768
2018;5;0.8924266669141989;0.8793580739221217;0.8831653472570756;0.8886856033039491
2018;6;0.8703606921835212;0.864520575465043;0.8637353336235978;0.8479324790920296
2018;7;0.9098001383972862;0.8908819483452458;0.893145004500952;0.8950282223791856
2018;8;0.9261679397705376;0.8982855290045577;0.9039421805249489;0.8973461864365864
2018;9;0.950336078693171;0.9184659316942402;0.9396781014725424;0.9384596589654367
2018;10;0.9993275829169408;0.9862164701042457;0.9931189861386935;0.9911873617245897
2018;11;0.9224785030884384;0.9171619866078787;0.926556394181636;0.9139525515841316
2018;12;0.9641617884105689;0.9555266488058429;0.9649135893184215;0.9558354181129286
2019;1;0.8235236719971851;0.866769467470986;0.838966080564296;0.8604778254753154
2019;2;0.8952608792569751;0.8872910401371898;0.89644652204394;0.8960764575097603
2019;3;0.895947338731425;0.8918072766710233;0.9008343750904646;0.8995073349149258
2019;4;0.9162355243647253;0.8987197526743448;0.900760725491214;0.9067248196117035
2019;5;0.9025921476769327;0.8971358788047544;0.8854273148191905;0.8934287014270145
2019;6;0.9048116464108714;0.8996754900132445;0.8937724820787502;0.8969081785740053
2019;7;0.9644947642647347;0.9730639791319408;0.9620665871132641;0.9669526376847273
2019;8;1.0179818872802022;1.019908006506284;0.9981043068493463;0.9996726631462944
2019;9;0.9882396147436964;0.9868383072873433;0.9579224027587686;0.9708031519597033
2019;10;0.993358651396838;0.9997404121978483;0.9926097071696885;1.0013549715705232
2019;11;1.0342592548651477;1.0060575541998549;0.9936794159039896;1.0023193629003968
2019;12;1.0527971390005688;1.0338751950962617;1.0185897027112258;1.02619384180915
2020;1;0.8530334284307536;0.8770327740233569;0.9070649058133123;0.8803303592862965
2020;2;0.9124792010256871;0.9019200761954995;0.8950088391663255;0.8994225940574914
2020;4;0.8659968555449927;0.8950671212392212;0.8761565322411429;0.8846925304634855
2020;6;0.7426024596071206;0.7672020291864426;0.7433015867598345;0.7238848469978343
2020;7;0.7893111646823818;0.8085329484138489;0.8051961371967288;0.8047728338470252
2020;8;0.8494805658967138;0.8573691005277563;0.8685092225381693;0.8530646468885458
2020;9;0.949116547351002;0.9747874384854393;0.9699387329932936;0.9253212854447704
2020;10;0.945695239355948;0.9955773552417436;0.9931769968560384;0.9564750636126164
2020;11;0.8858125288775115;0.9208810861011822;0.903010061976942;0.8911175834915065
2020;12;0.9032692299911451;0.9121561419033113;0.8954239273332449;0.8842697759495595
2021;1;0.7520730522185901;0.7271950746795314;0.741452716717584;0.7681365369415343
2021;2;0.91647552286639;0.9291469100496572;0.9403156126179064;0.9429435233697294
2021;3;0.9331678683302796;0.9189438718971885;0.9282198105018963;0.9122205396051765
2021;4;0.7882344002402433;0.8185615059791984;0.8478186209979399;0.8492901984706783
2021;5;0.9267026707897318;0.8870540358990809;0.8870970868007649;0.8710047501442724
2021;6;0.8041928748172987;0.8227759051592666;0.8303259869787714;0.8355032054644941
2021;7;0.8818718201186497;0.8811789015955562;0.8866217460811937;0.8940295287379726
2021;8;0.8344959455245736;0.8506584089695416;0.8545250798162911;0.8568519196024865
2021;9;0.8268450042883677;0.8482345195348628;0.8608802334356093;0.8693193044181843
2021;10;0.8773227654064902;0.8707599778988324;0.9028649169171755;0.9086347652276947
2021;11;1.004669361783003;1.0014851735072812;1.016681603516192;1.0021782095073917
2021;12;1.0200362333049853;1.0214296228147186;1.0291761256008745;1.0152339867070788
2022;1;0.9142850050764032;0.8965113380117263;0.8541016720653162;0.8556071041529476
2022;2;0.9209189154389009;0.9340439397027339;0.948877002882404;0.951881931728812
2022;3;0.961279945953884;0.9622278279913292;0.9698373915163802;0.9657111252020723
2022;4;0.8503075874205219;0.8897019622768002;0.9063355642685956;0.9306933889393239
2022;5;1.0191077843885277;1.0082870440549367;0.9917965887488939;0.9945396359114098
2022;6;0.8703307620446809;0.8948478651498297;0.895202721885693;0.8963452428797493
2022;7;0.8952580498543975;0.9248244835054265;0.920552356246696;0.9335617345473327
2022;8;0.9197511007155735;0.9154034962476824;0.922431057924165;0.9245563983375712
2022;9;0.9353847711960706;0.9514597357979212;0.9582074828660416;0.9734372464079041
2022;10;1.0464229856405685;1.045348397343715;1.0386737385585467;1.054969328082164
